cell_id,category,elicitation,mechanism,ai,central,matched,total_value,proposals_sent
easy_0000,easy,ai,central,1,1,1,0.633098,0
easy_0000,easy,ai,central,1,1,1,0.815121,0
easy_0000,easy,ai,central,1,1,1,1.17523,0
easy_0000,easy,ai,central,1,1,1,0.956232,0
easy_0000,easy,ai,central,1,1,1,0.762469,0
easy_0000,easy,ai,central,1,1,1,0.912444,0
easy_0000,easy,ai,central,1,1,1,0.70181,0
easy_0000,easy,ai,central,1,1,1,0.519807,0
easy_0000,easy,ai,central,1,1,1,0.751845,0
easy_0000,easy,ai,central,1,1,1,0.949122,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.724878,0
easy_0000,easy,ai,central,1,1,1,0.6047,0
easy_0000,easy,ai,central,1,1,1,0.706881,0
easy_0000,easy,ai,central,1,1,1,1.105687,0
easy_0000,easy,ai,central,1,1,1,1.087124,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.832606,0
easy_0000,easy,ai,central,1,1,1,0.637306,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,1.102236,0
easy_0000,easy,ai,central,1,1,1,0.902509,0
easy_0000,easy,ai,central,1,1,1,0.86925,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.692104,0
easy_0000,easy,ai,central,1,1,1,0.54697,0
easy_0000,easy,ai,central,1,1,1,0.924635,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.762864,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.990572,0
easy_0000,easy,ai,central,1,1,1,0.744595,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.935633,0
easy_0001,easy,ai,central,1,1,1,0.962079,0
easy_0001,easy,ai,central,1,1,1,1.038164,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,0.555583,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,1.057644,0
easy_0001,easy,ai,central,1,1,1,0.68813,0
easy_0001,easy,ai,central,1,1,1,0.648809,0
easy_0001,easy,ai,central,1,1,1,0.766085,0
easy_0001,easy,ai,central,1,1,1,0.703919,0
easy_0001,easy,ai,central,1,1,1,0.949086,0
easy_0001,easy,ai,central,1,1,1,0.808393,0
easy_0001,easy,ai,central,1,1,1,0.65425,0
easy_0001,easy,ai,central,1,1,1,1.060634,0
easy_0001,easy,ai,central,1,1,1,0.748161,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,0.668338,0
easy_0001,easy,ai,central,1,1,1,0.637991,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,1.077783,0
easy_0001,easy,ai,central,1,1,1,0.749423,0
easy_0001,easy,ai,central,1,1,1,0.99757,0
easy_0001,easy,ai,central,1,1,1,0.834245,0
easy_0001,easy,ai,central,1,1,1,0.779386,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,0.690057,0
easy_0001,easy,ai,central,1,1,1,0.662862,0
easy_0001,easy,ai,central,1,1,1,0.806783,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,0.73933,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,0.659342,0
easy_0001,easy,ai,central,1,1,1,0.840563,0
easy_0001,easy,ai,central,1,1,1,0.667924,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0002,easy,standard,search,0,0,0,0.0,30
easy_0002,easy,standard,search,0,0,1,0.641137,6
easy_0002,easy,standard,search,0,0,1,0.84498,3
easy_0002,easy,standard,search,0,0,1,0.879852,9
easy_0002,easy,standard,search,0,0,1,0.768196,4
easy_0002,easy,standard,search,0,0,1,0.732888,21
easy_0002,easy,standard,search,0,0,0,0.0,30
easy_0002,easy,standard,search,0,0,1,1.062315,2
easy_0002,easy,standard,search,0,0,1,0.673347,6
easy_0002,easy,standard,search,0,0,1,0.833886,9
easy_0002,easy,standard,search,0,0,0,0.0,30
easy_0002,easy,standard,search,0,0,1,0.997162,15
easy_0002,easy,standard,search,0,0,1,0.785146,5
easy_0002,easy,standard,search,0,0,1,0.676794,13
easy_0002,easy,standard,search,0,0,1,0.89922,9
easy_0002,easy,standard,search,0,0,1,0.934144,1
easy_0002,easy,standard,search,0,0,1,0.546212,16
