cell_id,category,elicitation,mechanism,match_rate,total_value_per_customer,attention_per_customer,net_welfare_per_customer,d_hat_i_obs,d_hat_j_obs,reciprocity_obs
easy_0000,easy,ai,central,0.6,0.40936105689631974,10.0,0.30936105689631976,0.515,0.54,0.205
easy_0001,easy,ai,central,0.65,0.4436513421643406,10.0,0.34365134216434057,0.625,0.465,0.275
easy_0002,easy,standard,search,0.65,0.4435875963171722,14.125,0.30233759631717216,0.63,0.44,0.225
easy_0003,easy,ai,search,0.675,0.44878641077160875,14.3,0.30578641077160873,0.575,0.44,0.22
easy_0004,easy,ai,search,0.675,0.44660527621814444,14.15,0.30510527621814443,0.535,0.51,0.215
easy_0005,easy,standard,central,0.575,0.3923825036226337,10.0,0.29238250362263374,0.57,0.51,0.25
easy_0006,easy,ai,central,0.575,0.38503981529591796,10.0,0.28503981529591793,0.46,0.645,0.235
easy_0007,easy,ai,search,0.675,0.4828870263865512,13.975,0.3431370263865512,0.445,0.575,0.23
easy_0008,easy,standard,search,0.675,0.45145943933871,14.65,0.30495943933871,0.575,0.395,0.17
easy_0009,easy,ai,search,0.775,0.5144929190653184,11.7,0.39749291906531836,0.58,0.47,0.235
easy_0010,easy,standard,search,0.575,0.3952424718554091,16.65,0.22874247185540914,0.515,0.435,0.18
easy_0011,easy,standard,search,0.725,0.4696573391789153,13.3,0.33665733917891527,0.525,0.39,0.185
easy_0012,easy,ai,search,0.6,0.4085546842406619,15.7,0.25155468424066185,0.57,0.54,0.24
easy_0013,easy,standard,search,0.65,0.43814973860994194,15.3,0.28514973860994197,0.57,0.455,0.245
easy_0014,easy,ai,central,0.6,0.42348921542094925,10.0,0.3234892154209492,0.61,0.525,0.265
easy_0015,easy,standard,search,0.6,0.41585131042161627,15.4,0.26185131042161625,0.49,0.39,0.18
easy_0016,easy,standard,central,0.55,0.3643189913331265,10.0,0.26431899133312653,0.53,0.545,0.24
easy_0017,easy,standard,central,0.575,0.3896449560017975,10.0,0.2896449560017975,0.47,0.49,0.22
easy_0018,easy,standard,search,0.7,0.47003712417030175,13.075,0.3392871241703017,0.515,0.45,0.21
easy_0019,easy,ai,search,0.65,0.4272960339339016,15.75,0.2697960339339016,0.54,0.5,0.22
easy_0020,easy,ai,central,0.625,0.42192871958780487,10.0,0.3219287195878049,0.52,0.535,0.255
easy_0021,easy,ai,search,0.625,0.44881815344618914,14.95,0.2993181534461892,0.47,0.61,0.23
easy_0022,easy,standard,central,0.55,0.38836201771481704,10.0,0.28836201771481706,0.64,0.405,0.225
easy_0023,easy,ai,central,0.525,0.3707148139963936,10.0,0.27071481399639363,0.455,0.605,0.23
easy_0024,easy,standard,central,0.475,0.32808182897950805,10.0,0.22808182897950804,0.465,0.475,0.185
easy_0025,easy,ai,central,0.6,0.4128583282007809,10.0,0.31285832820078086,0.56,0.48,0.235
easy_0026,easy,standard,search,0.575,0.3836590436528744,16.0,0.2236590436528744,0.4,0.51,0.15
easy_0027,easy,ai,central,0.675,0.4615525911253486,10.0,0.36155259112534854,0.5,0.58,0.25
easy_0028,easy,standard,central,0.575,0.3831068204099287,10.0,0.28310682040992874,0.45,0.51,0.23
easy_0029,easy,standard,search,0.65,0.44655930483397466,13.625,0.3103093048339747,0.51,0.51,0.255
easy_0030,easy,standard,search,0.7,0.441893435161409,14.5,0.296893435161409,0.48,0.4,0.13
easy_0031,easy,ai,search,0.625,0.44735903491427476,14.925,0.29810903491427476,0.52,0.485,0.21
easy_0032,easy,ai,central,0.575,0.3925063819790692,10.0,0.2925063819790692,0.525,0.475,0.195
easy_0033,easy,standard,central,0.525,0.3885671334345421,10.0,0.2885671334345421,0.53,0.49,0.21
easy_0034,easy,ai,central,0.525,0.35569625243040426,10.0,0.2556962524304043,0.525,0.535,0.235
easy_0035,easy,ai,search,0.65,0.44340304845483713,14.2,0.3014030484548371,0.525,0.5,0.225
easy_0036,easy,standard,search,0.775,0.5226391272791509,11.2,0.41063912727915086,0.535,0.49,0.23
easy_0037,easy,ai,search,0.7,0.46480810834645353,14.3,0.3218081083464535,0.545,0.48,0.215
easy_0038,easy,ai,central,0.55,0.3882692237020166,10.0,0.2882692237020166,0.47,0.6,0.245
easy_0039,easy,ai,search,0.65,0.4660546913713257,14.025,0.3258046913713257,0.52,0.575,0.27
easy_0040,easy,ai,search,0.7,0.48938691183306815,13.525,0.35413691183306817,0.515,0.555,0.235
easy_0041,easy,standard,central,0.55,0.3837670847171157,10.0,0.28376708471711565,0.525,0.435,0.19
easy_0042,easy,ai,search,0.625,0.4065204987495508,14.8,0.2585204987495508,0.455,0.57,0.19
easy_0043,easy,ai,search,0.725,0.48439678264186836,12.875,0.35564678264186833,0.525,0.55,0.23
easy_0044,easy,ai,search,0.725,0.4993612481715412,13.825,0.3611112481715412,0.575,0.5,0.215
easy_0045,easy,ai,central,0.6,0.41739363686527114,10.0,0.3173936368652711,0.64,0.435,0.225
easy_0046,easy,ai,search,0.725,0.5031500346917372,11.675,0.3864000346917372,0.58,0.56,0.285
easy_0047,easy,ai,search,0.625,0.4363432405188215,15.0,0.28634324051882154,0.54,0.5,0.22
easy_0048,easy,ai,search,0.675,0.4813626637702644,12.8,0.3533626637702644,0.525,0.585,0.26
easy_0049,easy,ai,search,0.7,0.49012177589342476,13.275,0.3573717758934247,0.565,0.595,0.26
easy_0050,easy,standard,central,0.55,0.3796903381277551,10.0,0.2796903381277551,0.535,0.45,0.21
easy_0051,easy,standard,search,0.75,0.5030151257346039,12.65,0.37651512573460394,0.505,0.48,0.205
easy_0052,easy,ai,search,0.725,0.5015435393337144,12.6,0.3755435393337144,0.52,0.55,0.225
easy_0053,easy,standard,central,0.55,0.3619802926954823,10.0,0.2619802926954823,0.515,0.515,0.235
easy_0054,easy,standard,search,0.7,0.4631175966368245,13.25,0.3306175966368245,0.565,0.39,0.17
easy_0055,easy,standard,central,0.4,0.2734789663463621,10.0,0.1734789663463621,0.485,0.42,0.145
easy_0056,easy,ai,central,0.625,0.41517130533805446,10.0,0.3151713053380545,0.54,0.495,0.225
easy_0057,easy,standard,central,0.575,0.390721226390632,10.0,0.290721226390632,0.515,0.5,0.205
