cell_id,category,elicitation,mechanism,ai,central,matched,total_value,proposals_sent
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.652865,0
easy_0000,easy,ai,central,1,1,1,0.865479,0
easy_0000,easy,ai,central,1,1,1,0.843697,0
easy_0000,easy,ai,central,1,1,1,0.59915,0
easy_0000,easy,ai,central,1,1,1,0.629586,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.58854,0
easy_0000,easy,ai,central,1,1,1,0.694765,0
easy_0000,easy,ai,central,1,1,1,0.560779,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.596914,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.704736,0
easy_0000,easy,ai,central,1,1,1,0.99681,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.636871,0
easy_0000,easy,ai,central,1,1,1,0.641722,0
easy_0000,easy,ai,central,1,1,1,0.826464,0
easy_0000,easy,ai,central,1,1,1,0.70681,0
easy_0000,easy,ai,central,1,1,1,0.61709,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.574164,0
easy_0000,easy,ai,central,1,1,1,0.600072,0
easy_0000,easy,ai,central,1,1,1,0.648107,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.771205,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.592929,0
easy_0000,easy,ai,central,1,1,1,0.58262,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.757072,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,0,0.0,0
easy_0000,easy,ai,central,1,1,1,0.685995,0
easy_0001,easy,ai,central,1,1,1,0.635195,0
easy_0001,easy,ai,central,1,1,1,0.960725,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,0.559076,0
easy_0001,easy,ai,central,1,1,1,0.753337,0
easy_0001,easy,ai,central,1,1,1,0.645943,0
easy_0001,easy,ai,central,1,1,1,0.650446,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,0.80242,0
easy_0001,easy,ai,central,1,1,1,0.739907,0
easy_0001,easy,ai,central,1,1,1,0.513127,0
easy_0001,easy,ai,central,1,1,1,0.890264,0
easy_0001,easy,ai,central,1,1,1,0.790469,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,0.588939,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,0.782352,0
easy_0001,easy,ai,central,1,1,1,0.637118,0
easy_0001,easy,ai,central,1,1,1,0.582019,0
easy_0001,easy,ai,central,1,1,1,0.862503,0
easy_0001,easy,ai,central,1,1,1,0.611498,0
easy_0001,easy,ai,central,1,1,1,0.728185,0
easy_0001,easy,ai,central,1,1,1,0.722194,0
easy_0001,easy,ai,central,1,1,1,0.641539,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,0.551872,0
easy_0001,easy,ai,central,1,1,1,0.643832,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,0.617822,0
easy_0001,easy,ai,central,1,1,1,0.619571,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,0,0.0,0
easy_0001,easy,ai,central,1,1,1,0.659342,0
