cell_id,category,elicitation,mechanism,ai,central,rank,reciprocity_rate
easy_0000,easy,ai,central,1,1,1,0.325
easy_0000,easy,ai,central,1,1,2,0.225
easy_0000,easy,ai,central,1,1,3,0.125
easy_0000,easy,ai,central,1,1,4,0.15
easy_0000,easy,ai,central,1,1,5,0.2
easy_0001,easy,ai,central,1,1,1,0.45
easy_0001,easy,ai,central,1,1,2,0.25
easy_0001,easy,ai,central,1,1,3,0.275
easy_0001,easy,ai,central,1,1,4,0.225
easy_0001,easy,ai,central,1,1,5,0.175
easy_0002,easy,standard,search,0,0,1,0.4
easy_0002,easy,standard,search,0,0,2,0.25
easy_0002,easy,standard,search,0,0,3,0.15
easy_0002,easy,standard,search,0,0,4,0.175
easy_0002,easy,standard,search,0,0,5,0.15
easy_0003,easy,ai,search,1,0,1,0.275
easy_0003,easy,ai,search,1,0,2,0.375
easy_0003,easy,ai,search,1,0,3,0.075
easy_0003,easy,ai,search,1,0,4,0.125
easy_0003,easy,ai,search,1,0,5,0.25
easy_0004,easy,ai,search,1,0,1,0.325
easy_0004,easy,ai,search,1,0,2,0.275
easy_0004,easy,ai,search,1,0,3,0.175
easy_0004,easy,ai,search,1,0,4,0.175
easy_0004,easy,ai,search,1,0,5,0.125
easy_0005,easy,standard,central,0,1,1,0.4
easy_0005,easy,standard,central,0,1,2,0.175
easy_0005,easy,standard,central,0,1,3,0.175
easy_0005,easy,standard,central,0,1,4,0.275
easy_0005,easy,standard,central,0,1,5,0.225
easy_0006,easy,ai,central,1,1,1,0.45
easy_0006,easy,ai,central,1,1,2,0.25
easy_0006,easy,ai,central,1,1,3,0.15
easy_0006,easy,ai,central,1,1,4,0.15
easy_0006,easy,ai,central,1,1,5,0.175
easy_0007,easy,ai,search,1,0,1,0.375
easy_0007,easy,ai,search,1,0,2,0.25
easy_0007,easy,ai,search,1,0,3,0.325
easy_0007,easy,ai,search,1,0,4,0.15
easy_0007,easy,ai,search,1,0,5,0.05
easy_0008,easy,standard,search,0,0,1,0.325
easy_0008,easy,standard,search,0,0,2,0.225
easy_0008,easy,standard,search,0,0,3,0.1
easy_0008,easy,standard,search,0,0,4,0.1
easy_0008,easy,standard,search,0,0,5,0.1
easy_0009,easy,ai,search,1,0,1,0.375
easy_0009,easy,ai,search,1,0,2,0.325
easy_0009,easy,ai,search,1,0,3,0.175
easy_0009,easy,ai,search,1,0,4,0.1
easy_0009,easy,ai,search,1,0,5,0.2
easy_0010,easy,standard,search,0,0,1,0.25
easy_0010,easy,standard,search,0,0,2,0.25
easy_0010,easy,standard,search,0,0,3,0.175
easy_0010,easy,standard,search,0,0,4,0.15
easy_0010,easy,standard,search,0,0,5,0.075
easy_0011,easy,standard,search,0,0,1,0.275
easy_0011,easy,standard,search,0,0,2,0.2
easy_0011,easy,standard,search,0,0,3,0.175
