provider_id,city_id,week,cost_base,licensed,insured,schedule_slots_n,matches,revenue,profit,inbox,responded
city000_p000,city000,0,163.4,0,0,13,0,0.0,0.0,0,0
city000_p001,city000,0,200.74,1,1,13,0,0.0,0.0,0,0
city000_p002,city000,0,168.68,1,1,13,0,0.0,0.0,0,0
city000_p003,city000,0,236.61,1,1,13,0,0.0,0.0,0,0
city000_p004,city000,0,220.96,1,1,13,0,0.0,0.0,0,0
city000_p005,city000,0,298.43,0,0,13,0,0.0,0.0,0,0
city000_p006,city000,0,166.65,1,0,13,4,853.894,177.361,0,0
city000_p007,city000,0,183.88,0,0,13,0,0.0,0.0,0,0
city000_p008,city000,0,258.25,0,1,13,0,0.0,0.0,0,0
city000_p009,city000,0,193.4,1,1,13,1,459.805,131.567,0,0
city000_p010,city000,0,162.47,1,1,13,0,0.0,0.0,0,0
city000_p011,city000,0,218.7,0,1,13,0,0.0,0.0,0,0
city000_p012,city000,0,211.83,1,1,13,0,0.0,0.0,0,0
city000_p013,city000,0,157.8,1,1,13,0,0.0,0.0,0,0
city000_p014,city000,0,206.48,0,1,13,0,0.0,0.0,0,0
city000_p015,city000,0,219.85,0,1,13,0,0.0,0.0,0,0
city000_p016,city000,0,252.38,1,1,13,0,0.0,0.0,0,0
city000_p017,city000,0,247.68,1,1,13,4,2063.355,526.796,0,0
city000_p018,city000,0,218.21,0,0,13,0,0.0,0.0,0,0
city000_p019,city000,0,130.78,1,1,13,1,202.816,41.004,0,0
city000_p020,city000,0,187.09,1,1,13,0,0.0,0.0,0,0
city000_p021,city000,0,122.99,1,1,13,4,650.175,118.135,0,0
city000_p022,city000,0,140.95,0,1,13,0,0.0,0.0,0,0
city000_p023,city000,0,152.03,0,1,13,0,0.0,0.0,0,0
city000_p024,city000,0,147.66,0,0,13,2,339.876,50.093,0,0
city000_p025,city000,0,199.47,0,1,13,0,0.0,0.0,0,0
city000_p026,city000,0,151.92,1,1,13,1,158.58,25.248,0,0
city000_p027,city000,0,198.63,1,1,13,0,0.0,0.0,0,0
city000_p028,city000,0,167.91,1,0,13,3,829.51,222.627,0,0
city000_p029,city000,0,222.21,1,0,13,0,0.0,0.0,0,0
city000_p030,city000,0,257.9,0,1,13,0,0.0,0.0,0,0
city000_p031,city000,0,101.56,1,1,13,1,215.454,63.61,0,0
city000_p032,city000,0,208.67,0,1,13,0,0.0,0.0,0,0
city000_p033,city000,0,126.01,1,0,13,1,159.913,9.56,0,0
city000_p034,city000,0,210.94,1,1,13,1,330.424,74.293,0,0
city000_p035,city000,0,243.14,1,1,13,0,0.0,0.0,0,0
city000_p036,city000,0,139.58,1,1,13,0,0.0,0.0,0,0
city000_p037,city000,0,265.38,0,1,13,0,0.0,0.0,0,0
city000_p038,city000,0,159.95,0,1,13,0,0.0,0.0,0,0
city000_p039,city000,0,248.39,0,1,13,0,0.0,0.0,0,0
city000_p040,city000,0,194.43,1,1,13,0,0.0,0.0,0,0
city000_p041,city000,0,220.99,1,1,13,1,206.975,17.83,0,0
city000_p042,city000,0,346.15,1,1,13,0,0.0,0.0,0,0
city000_p043,city000,0,188.81,1,1,13,0,0.0,0.0,0,0
city000_p044,city000,0,174.1,1,1,13,0,0.0,0.0,0,0
city000_p045,city000,0,276.07,1,1,13,0,0.0,0.0,0,0
city000_p046,city000,0,182.48,1,1,13,0,0.0,0.0,0,0
city000_p047,city000,0,139.55,1,0,13,0,0.0,0.0,0,0
city000_p048,city000,0,133.14,1,1,13,4,762.386,149.459,0,0
city000_p049,city000,0,199.84,1,1,13,0,0.0,0.0,0,0
city000_p050,city000,0,222.67,1,1,13,1,490.797,101.101,0,0
city000_p051,city000,0,168.56,1,1,13,1,196.085,44.36,0,0
city000_p052,city000,0,135.35,1,1,13,1,206.413,20.857,0,0
city000_p053,city000,0,224.16,0,1,13,0,0.0,0.0,0,0
city000_p054,city000,0,129.05,1,1,13,0,0.0,0.0,0,0
city000_p055,city000,0,126.84,0,0,13,2,353.034,106.748,0,0
city000_p056,city000,0,136.41,0,1,13,0,0.0,0.0,0,0
city000_p057,city000,0,236.19,0,1,13,0,0.0,0.0,0,0
city000_p058,city000,0,234.85,0,0,13,0,0.0,0.0,0,0
city000_p059,city000,0,219.09,0,1,13,1,650.364,190.472,0,0
city000_p060,city000,0,151.23,1,1,13,1,180.579,20.865,0,0
city000_p061,city000,0,193.5,1,1,13,0,0.0,0.0,0,0
city000_p062,city000,0,178.84,1,1,13,0,0.0,0.0,0,0
city000_p063,city000,0,157.74,1,0,13,0,0.0,0.0,0,0
city000_p064,city000,0,161.85,0,1,13,2,391.289,95.072,0,0
city000_p065,city000,0,183.4,1,0,13,0,0.0,0.0,0,0
city000_p066,city000,0,147.31,1,0,13,0,0.0,0.0,0,0
city000_p067,city000,0,161.99,1,0,13,0,0.0,0.0,0,0
city000_p068,city000,0,163.53,0,0,13,0,0.0,0.0,0,0
city000_p069,city000,0,154.73,1,1,13,1,178.306,51.08,0,0
city000_p000,city000,1,148.95,0,1,13,0,0.0,0.0,2,2
city000_p001,city000,1,178.56,1,1,13,0,0.0,0.0,10,10
city000_p002,city000,1,135.23,1,0,13,0,0.0,0.0,9,9
