iter,loss,base_markup,budget_markup,demand_markup,cancel_base,provider_weekly_capacity,provider_daily_screen_cap,accept_threshold,idiosyncratic_noise_sd,value_scale_easy,value_scale_hard,easy_match_rate,easy_cancel_rate,easy_avg_price,easy_messages_per_job,easy_provider_inbox_per_day,easy_consumer_surplus_per_job,easy_provider_profit_per_job,hard_match_rate,hard_cancel_rate,hard_avg_price,hard_messages_per_job,hard_provider_inbox_per_day,hard_consumer_surplus_per_job,hard_provider_profit_per_job
0,32.749935,0.22,0.1,0.18,0.05,5,8,0.25,0.08,500.0,1100.0,0.3222,0.0606,204.964,11.7156,2.1575,-8.5778,13.9182,0.2,0.0389,356.9756,12.4489,2.1575,5.6544,17.1893
1,54.55433,0.3373,0.0457,0.2515,0.0762,5,11,0.2465,0.0698,679.11,1353.89,0.2711,0.0641,206.7155,12.1022,2.1968,9.1004,14.8543,0.1956,0.1329,372.6883,12.5022,2.1968,14.9588,20.6023
2,95.855899,0.2063,0.0751,0.1474,0.0377,8,8,0.2666,0.0631,838.27,1146.88,0.2111,0.0519,209.5297,12.4489,2.2764,21.1544,8.2449,0.1267,0.1528,309.9354,13.0467,2.2764,7.8778,9.5032
3,22.541804,0.2529,0.0363,0.1389,0.0441,6,8,0.2511,0.1152,811.48,1375.69,0.3378,0.0635,203.7093,11.56,2.119,34.3743,14.6596,0.2267,0.039,355.9016,12.1733,2.119,37.3795,18.036
4,14.728652,0.2779,0.1726,0.1664,0.0644,6,12,0.2241,0.108,600.05,1484.31,0.3889,0.0478,209.1037,11.0089,2.0151,0.4814,21.8367,0.3133,0.0558,412.5604,11.56,2.0151,36.5568,39.0675
5,72.192596,0.312,0.0542,0.2168,0.0404,6,10,0.2745,0.093,842.76,1458.39,0.2067,0.0664,199.9888,12.6089,2.2591,22.4535,11.0878,0.1756,0.0,373.7314,12.6933,2.2591,31.1792,17.3975
6,21.706225,0.2502,0.1961,0.1802,0.0575,5,11,0.238,0.0969,919.23,1658.33,0.3489,0.0508,210.9228,11.2844,2.0851,41.5604,18.8569,0.2489,0.0763,394.2601,12.0689,2.0851,49.0288,29.6779
7,107.217608,0.2105,0.047,0.1657,0.0783,5,10,0.2871,0.0869,637.36,1182.62,0.2111,0.0783,190.492,12.5511,2.2927,9.2113,7.9157,0.1089,0.1593,298.1019,13.1267,2.2927,13.3369,7.3785
8,36.347112,0.1725,0.1768,0.1531,0.0669,4,9,0.24,0.0731,601.34,1121.89,0.3644,0.0231,202.2371,11.2178,2.102,2.7939,14.8259,0.2089,0.1315,351.7501,12.3244,2.102,5.775,18.9575
9,47.227726,0.3425,0.0152,0.1301,0.0936,4,8,0.2596,0.1078,918.74,1521.46,0.2733,0.1173,200.0081,12.0667,2.1758,36.4072,15.0644,0.2178,0.0563,367.0746,12.3022,2.1758,41.817,21.6562
10,27.039199,0.1692,0.0321,0.1633,0.0429,5,8,0.2538,0.0984,946.68,1642.35,0.34,0.0326,195.3751,11.4356,2.1183,52.8513,10.1692,0.2244,0.0416,319.5043,12.2889,2.1183,60.3009,12.2392
11,57.772176,0.28,0.1626,0.1457,0.0956,8,12,0.246,0.0719,848.76,1287.23,0.28,0.0564,208.9315,12.0044,2.1893,24.5192,15.7768,0.1978,0.144,389.0845,12.5156,2.1893,8.2937,23.7742
12,18.752612,0.2961,0.1295,0.151,0.0718,4,9,0.2239,0.103,928.5,1314.89,0.3756,0.0722,213.6741,11.0756,2.0246,41.3821,21.3889,0.2911,0.0871,407.5674,11.6,2.0246,17.7118,35.0196
13,66.51874,0.1797,0.0229,0.1295,0.09,4,6,0.2435,0.0646,768.11,1256.45,0.3267,0.0957,194.2499,11.6978,2.169,21.9365,10.3092,0.2,0.1755,327.9427,12.5956,2.169,16.7917,11.2566
14,68.757748,0.1626,0.014,0.2611,0.0739,8,6,0.2968,0.119,617.22,1685.98,0.2267,0.0917,200.57,12.5422,2.2567,13.1967,6.3104,0.1578,0.087,306.4593,12.7333,2.2567,55.1521,8.2649
15,58.153358,0.2317,0.0526,0.1621,0.0537,7,6,0.2672,0.0691,637.49,1250.03,0.2422,0.0464,207.3375,12.3289,2.2522,6.3439,10.1677,0.1511,0.0556,340.7188,12.8956,2.2522,15.3125,11.7834
16,125.698934,0.3189,0.0011,0.1179,0.0376,5,10,0.2985,0.0705,781.95,1153.1,0.1222,0.0694,167.4792,13.16,2.3645,10.6019,6.3246,0.0867,0.0926,330.763,13.3222,2.3645,7.1559,7.6143
17,79.837677,0.1597,0.0537,0.1146,0.0469,8,11,0.2796,0.0766,646.41,1630.58,0.24,0.0329,201.4298,12.3289,2.2688,11.5015,7.2307,0.1178,0.125,303.3192,13.0822,2.2688,33.47,6.7064
18,81.838304,0.2798,0.0641,0.2854,0.0541,7,10,0.2904,0.1115,794.66,1576.67,0.1911,0.1145,203.7557,12.7689,2.279,20.5222,9.725,0.16,0.0435,353.519,12.7556,2.279,39.9576,14.957
19,109.274118,0.2724,0.0448,0.1128,0.0944,7,10,0.2987,0.1069,942.37,1153.45,0.1756,0.1429,194.9622,12.8444,2.3095,30.7039,8.1499,0.1222,0.0685,302.4613,13.0222,2.3095,13.7841,10.5453
20,94.778428,0.2676,0.0323,0.2047,0.0501,7,12,0.2957,0.0993,671.4,1302.75,0.1733,0.1011,188.1118,12.8844,2.3087,11.3663,7.961,0.1333,0.0222,330.3803,12.9733,2.3087,19.7057,10.9621
21,42.240655,0.2458,0.0796,0.181,0.0347,7,12,0.2784,0.108,600.14,1249.73,0.2622,0.0547,208.5272,12.1867,2.2028,7.5227,11.9214,0.2,0.037,355.6298,12.4844,2.2028,24.2146,17.7283
22,42.471571,0.1777,0.0679,0.2191,0.0941,6,6,0.221,0.0665,767.6,1587.47,0.3911,0.0987,200.3271,11.1156,2.0599,21.5945,13.4318,0.2622,0.1644,348.967,11.9556,2.0599,41.0703,18.4858
23,26.249374,0.324,0.1002,0.2452,0.0605,7,6,0.2436,0.1073,788.83,1109.34,0.3133,0.0311,213.8143,11.7689,2.121,23.4484,18.3193,0.2622,0.0582,391.1481,11.9867,2.121,0.6045,31.0377
24,74.52233,0.2351,0.1116,0.2219,0.0745,4,12,0.2673,0.0836,771.98,1570.75,0.2311,0.1252,205.9768,12.3689,2.2472,18.1481,10.6102,0.16,0.0903,358.2423,12.8,2.2472,35.8783,14.8994
25,23.131546,0.2683,0.0001,0.1828,0.0965,4,11,0.2201,0.0806,942.57,1645.8,0.4044,0.1181,201.0345,11.0489,2.0456,48.0856,17.0606,0.2711,0.0776,361.4079,11.8622,2.0456,51.7219,21.1166
26,109.610082,0.2307,0.0567,0.2979,0.0834,8,11,0.2962,0.1037,774.34,1557.96,0.1844,0.1543,199.7922,12.7556,2.2996,20.589,7.4153,0.1289,0.0667,284.6485,13.0,2.2996,34.8829,9.8816
27,25.47486,0.274,0.0801,0.1463,0.0555,7,10,0.2481,0.1168,877.56,1522.47,0.3222,0.071,205.7531,11.6178,2.1175,40.9309,15.7772,0.2378,0.0426,370.3679,12.0978,2.1175,46.7288,22.4902
28,11.72134,0.1841,0.1402,0.203,0.043,8,6,0.2221,0.1163,833.76,1665.4,0.4622,0.0172,203.3707,10.5333,1.971,42.9358,18.4839,0.3089,0.0733,364.7609,11.5422,1.971,67.5808,27.6153
29,102.103956,0.2487,0.1352,0.2509,0.0815,4,7,0.2965,0.11,858.77,1316.55,0.1911,0.1492,200.2791,12.8133,2.2996,25.7646,9.5223,0.14,0.087,324.1006,12.9422,2.2996,18.5806,14.9844
30,101.720333,0.3277,0.0869,0.2321,0.0967,4,6,0.2807,0.0822,629.91,1276.42,0.1622,0.1278,205.8023,12.8489,2.2962,4.317,9.6836,0.1444,0.0556,365.9365,12.8689,2.2962,11.2116,16.6954
31,82.852385,0.3297,0.0898,0.2275,0.088,8,12,0.2894,0.1167,853.97,1678.58,0.1867,0.1247,207.8194,12.6978,2.2639,24.3026,11.3214,0.18,0.0556,373.0143,12.6578,2.2639,49.7929,20.6763
32,50.152365,0.2369,0.1489,0.1141,0.0721,5,11,0.2639,0.1076,937.46,1182.85,0.2822,0.0485,209.7772,11.8889,2.1744,42.1769,13.8305,0.2,0.1292,374.0018,12.4644,2.1744,14.9128,20.8659
33,37.183027,0.2143,0.0617,0.2243,0.0555,6,10,0.2348,0.0638,885.07,1248.75,0.3667,0.0434,196.7218,11.2578,2.1004,37.953,14.1489,0.2067,0.1394,347.9182,12.2667,2.1004,13.2778,15.6865
34,24.791332,0.1696,0.151,0.2534,0.0919,4,12,0.2209,0.0967,694.21,1591.22,0.4467,0.1109,198.3093,10.5956,1.994,18.7867,17.1505,0.2933,0.1227,356.4739,11.7378,1.994,55.736,25.1989
35,18.487279,0.1556,0.0869,0.2251,0.0305,6,9,0.2372,0.0673,906.46,1334.29,0.3911,0.0407,191.0277,11.0133,2.073,44.9381,12.1132,0.2333,0.0208,327.7979,12.2044,2.073,24.2097,14.9621
36,44.225455,0.2467,0.174,0.1081,0.0992,7,8,0.2411,0.0856,632.91,1108.3,0.3378,0.0663,210.2338,11.5822,2.1361,4.2532,17.6221,0.2222,0.145,378.2168,12.3422,2.1361,1.0869,24.9037
37,178.862038,0.3346,0.162,0.1947,0.0725,5,8,0.2725,0.0697,937.9,1658.94,0.1467,0.2315,217.5279,12.8133,2.3101,18.8479,9.609,0.1244,0.0648,364.9729,13.06,2.3101,26.0425,16.0542
38,51.766647,0.2053,0.115,0.1955,0.064,5,11,0.2734,0.0963,778.87,1184.27,0.2556,0.0695,202.3019,12.36,2.2377,22.1961,10.6619,0.1622,0.0602,335.1474,12.7022,2.2377,18.337,13.0445
39,82.886704,0.219,0.1757,0.2721,0.0534,8,10,0.2979,0.1179,607.58,1128.57,0.1867,0.1127,216.7542,12.8089,2.2806,7.3006,9.1738,0.1644,0.0463,362.7622,12.7333,2.2806,10.5146,18.0958
40,264.616113,0.3272,0.0059,0.2366,0.076,8,6,0.2983,0.0763,640.04,1253.69,0.1022,0.1222,170.6659,13.2178,2.3712,4.5846,5.1993,0.08,0.2778,314.3859,13.34,2.3712,11.1684,7.1033
41,24.017918,0.3111,0.0018,0.2056,0.0545,5,11,0.2353,0.0839,856.08,1655.1,0.3222,0.0779,200.6151,11.5333,2.1135,31.277,15.1741,0.2422,0.0505,361.7963,12.1378,2.1135,48.9036,21.0348
42,64.618672,0.2548,0.149,0.2657,0.0613,5,12,0.2673,0.0764,925.49,1688.07,0.2244,0.066,219.0323,12.4133,2.2593,27.8242,11.7423,0.1533,0.0852,368.429,12.8911,2.2593,38.3914,16.1371
