provider_id,city_id,week,cost_base,licensed,insured,schedule_slots_n,matches,revenue,profit,inbox,responded
city000_p000,city000,0,163.4,0,0,13,0,0.0,0.0,0,0
city000_p001,city000,0,200.74,1,1,13,0,0.0,0.0,0,0
city000_p002,city000,0,168.68,1,1,13,0,0.0,0.0,0,0
city000_p003,city000,0,236.61,1,1,13,0,0.0,0.0,0,0
city000_p004,city000,0,220.96,1,1,13,0,0.0,0.0,0,0
city000_p005,city000,0,298.43,0,0,13,0,0.0,0.0,0,0
city000_p006,city000,0,166.65,1,0,13,3,658.592,149.103,0,0
city000_p007,city000,0,183.88,0,0,13,0,0.0,0.0,0,0
city000_p008,city000,0,258.25,0,1,13,0,0.0,0.0,0,0
city000_p009,city000,0,193.4,1,1,13,0,0.0,0.0,0,0
city000_p010,city000,0,162.47,1,1,13,0,0.0,0.0,0,0
city000_p011,city000,0,218.7,0,1,13,0,0.0,0.0,0,0
city000_p012,city000,0,211.83,1,1,13,0,0.0,0.0,0,0
city000_p013,city000,0,157.8,1,1,13,0,0.0,0.0,0,0
city000_p014,city000,0,206.48,0,1,13,1,214.282,50.674,0,0
city000_p015,city000,0,219.85,0,1,13,0,0.0,0.0,0,0
city000_p016,city000,0,252.38,1,1,13,1,222.445,16.46,0,0
city000_p017,city000,0,247.68,1,1,13,3,1450.767,335.33,0,0
city000_p018,city000,0,218.21,0,0,13,1,244.805,44.368,0,0
city000_p019,city000,0,130.78,1,1,13,1,214.918,53.105,0,0
city000_p020,city000,0,187.09,1,1,13,0,0.0,0.0,0,0
city000_p021,city000,0,122.99,1,1,13,5,788.492,134.52,0,0
city000_p022,city000,0,140.95,0,1,13,0,0.0,0.0,0,0
city000_p023,city000,0,152.03,0,1,13,0,0.0,0.0,0,0
city000_p024,city000,0,147.66,0,0,13,2,462.046,67.235,0,0
city000_p025,city000,0,199.47,0,1,13,0,0.0,0.0,0,0
city000_p026,city000,0,151.92,1,1,13,1,147.237,13.905,0,0
city000_p027,city000,0,198.63,1,1,13,0,0.0,0.0,0,0
city000_p028,city000,0,167.91,1,0,13,2,543.825,120.52,0,0
city000_p029,city000,0,222.21,1,0,13,0,0.0,0.0,0,0
city000_p030,city000,0,257.9,0,1,13,0,0.0,0.0,0,0
city000_p031,city000,0,101.56,1,1,13,1,203.338,51.494,0,0
city000_p032,city000,0,208.67,0,1,13,0,0.0,0.0,0,0
city000_p033,city000,0,126.01,1,0,13,0,0.0,0.0,0,0
city000_p034,city000,0,210.94,1,1,13,1,312.919,56.788,0,0
city000_p035,city000,0,243.14,1,1,13,0,0.0,0.0,0,0
city000_p036,city000,0,139.58,1,1,13,0,0.0,0.0,0,0
city000_p037,city000,0,265.38,0,1,13,0,0.0,0.0,0,0
city000_p038,city000,0,159.95,0,1,13,0,0.0,0.0,0,0
city000_p039,city000,0,248.39,0,1,13,0,0.0,0.0,0,0
city000_p040,city000,0,194.43,1,1,13,1,267.255,70.086,0,0
city000_p041,city000,0,220.99,1,1,13,1,197.148,8.002,0,0
city000_p042,city000,0,346.15,1,1,13,0,0.0,0.0,0,0
city000_p043,city000,0,188.81,1,1,13,0,0.0,0.0,0,0
city000_p044,city000,0,174.1,1,1,13,0,0.0,0.0,0,0
city000_p045,city000,0,276.07,1,1,13,0,0.0,0.0,0,0
city000_p046,city000,0,182.48,1,1,13,0,0.0,0.0,0,0
city000_p047,city000,0,139.55,1,0,13,0,0.0,0.0,0,0
city000_p048,city000,0,133.14,1,1,13,2,378.009,47.23,0,0
city000_p049,city000,0,199.84,1,1,13,0,0.0,0.0,0,0
city000_p050,city000,0,222.67,1,1,13,1,499.065,109.369,0,0
city000_p051,city000,0,168.56,1,1,13,2,482.218,128.103,0,0
city000_p052,city000,0,135.35,1,1,13,0,0.0,0.0,0,0
city000_p053,city000,0,224.16,0,1,13,0,0.0,0.0,0,0
city000_p054,city000,0,129.05,1,1,13,0,0.0,0.0,0,0
city000_p055,city000,0,126.84,0,0,13,2,350.008,103.722,0,0
city000_p056,city000,0,136.41,0,1,13,0,0.0,0.0,0,0
city000_p057,city000,0,236.19,0,1,13,0,0.0,0.0,0,0
city000_p058,city000,0,234.85,0,0,13,0,0.0,0.0,0,0
city000_p059,city000,0,219.09,0,1,13,0,0.0,0.0,0,0
city000_p060,city000,0,151.23,1,1,13,0,0.0,0.0,0,0
city000_p061,city000,0,193.5,1,1,13,0,0.0,0.0,0,0
city000_p062,city000,0,178.84,1,1,13,0,0.0,0.0,0,0
city000_p063,city000,0,157.74,1,0,13,0,0.0,0.0,0,0
city000_p064,city000,0,161.85,0,1,13,0,0.0,0.0,0,0
city000_p065,city000,0,183.4,1,0,13,0,0.0,0.0,0,0
city000_p066,city000,0,147.31,1,0,13,0,0.0,0.0,0,0
city000_p067,city000,0,161.99,1,0,13,1,333.72,55.626,0,0
city000_p068,city000,0,163.53,0,0,13,0,0.0,0.0,0,0
city000_p069,city000,0,154.73,1,1,13,1,181.077,53.85,0,0
city000_p000,city000,1,148.95,0,1,13,0,0.0,0.0,3,3
city000_p001,city000,1,178.56,1,1,13,0,0.0,0.0,10,9
city000_p002,city000,1,135.23,1,0,13,0,0.0,0.0,9,9
