cell_id,city_id,week,category,elicitation,mechanism,ai,central,rank,reciprocity_rate
city000_w00_easy,city000,0,easy,ai,search,1,0,1,0.15
city000_w00_easy,city000,0,easy,ai,search,1,0,2,0.133333
city000_w00_easy,city000,0,easy,ai,search,1,0,3,0.1
city000_w00_easy,city000,0,easy,ai,search,1,0,4,0.066667
city000_w00_easy,city000,0,easy,ai,search,1,0,5,0.083333
city000_w00_hard,city000,0,hard,ai,central,1,1,1,0.05
city000_w00_hard,city000,0,hard,ai,central,1,1,2,0.05
city000_w00_hard,city000,0,hard,ai,central,1,1,3,0.016667
city000_w00_hard,city000,0,hard,ai,central,1,1,4,0.066667
city000_w00_hard,city000,0,hard,ai,central,1,1,5,0.0
city000_w01_easy,city000,1,easy,ai,central,1,1,1,0.15
city000_w01_easy,city000,1,easy,ai,central,1,1,2,0.15
city000_w01_easy,city000,1,easy,ai,central,1,1,3,0.05
city000_w01_easy,city000,1,easy,ai,central,1,1,4,0.066667
city000_w01_easy,city000,1,easy,ai,central,1,1,5,0.066667
city000_w01_hard,city000,1,hard,ai,search,1,0,1,0.033333
city000_w01_hard,city000,1,hard,ai,search,1,0,2,0.033333
city000_w01_hard,city000,1,hard,ai,search,1,0,3,0.033333
city000_w01_hard,city000,1,hard,ai,search,1,0,4,0.033333
city000_w01_hard,city000,1,hard,ai,search,1,0,5,0.0
city001_w00_easy,city001,0,easy,ai,central,1,1,1,0.083333
city001_w00_easy,city001,0,easy,ai,central,1,1,2,0.116667
city001_w00_easy,city001,0,easy,ai,central,1,1,3,0.1
city001_w00_easy,city001,0,easy,ai,central,1,1,4,0.133333
city001_w00_easy,city001,0,easy,ai,central,1,1,5,0.066667
city001_w00_hard,city001,0,hard,standard,central,0,1,1,0.083333
city001_w00_hard,city001,0,hard,standard,central,0,1,2,0.116667
city001_w00_hard,city001,0,hard,standard,central,0,1,3,0.033333
city001_w00_hard,city001,0,hard,standard,central,0,1,4,0.016667
city001_w00_hard,city001,0,hard,standard,central,0,1,5,0.066667
city001_w01_easy,city001,1,easy,standard,central,0,1,1,0.116667
city001_w01_easy,city001,1,easy,standard,central,0,1,2,0.15
city001_w01_easy,city001,1,easy,standard,central,0,1,3,0.1
city001_w01_easy,city001,1,easy,standard,central,0,1,4,0.066667
city001_w01_easy,city001,1,easy,standard,central,0,1,5,0.05
city001_w01_hard,city001,1,hard,standard,search,0,0,1,0.1
city001_w01_hard,city001,1,hard,standard,search,0,0,2,0.05
city001_w01_hard,city001,1,hard,standard,search,0,0,3,0.016667
city001_w01_hard,city001,1,hard,standard,search,0,0,4,0.066667
city001_w01_hard,city001,1,hard,standard,search,0,0,5,0.05
city002_w00_easy,city002,0,easy,standard,central,0,1,1,0.133333
city002_w00_easy,city002,0,easy,standard,central,0,1,2,0.083333
city002_w00_easy,city002,0,easy,standard,central,0,1,3,0.083333
city002_w00_easy,city002,0,easy,standard,central,0,1,4,0.05
city002_w00_easy,city002,0,easy,standard,central,0,1,5,0.0
city002_w00_hard,city002,0,hard,ai,search,1,0,1,0.1
city002_w00_hard,city002,0,hard,ai,search,1,0,2,0.066667
city002_w00_hard,city002,0,hard,ai,search,1,0,3,0.0
city002_w00_hard,city002,0,hard,ai,search,1,0,4,0.016667
city002_w00_hard,city002,0,hard,ai,search,1,0,5,0.066667
city002_w01_easy,city002,1,easy,standard,central,0,1,1,0.1
city002_w01_easy,city002,1,easy,standard,central,0,1,2,0.133333
city002_w01_easy,city002,1,easy,standard,central,0,1,3,0.083333
city002_w01_easy,city002,1,easy,standard,central,0,1,4,0.083333
city002_w01_easy,city002,1,easy,standard,central,0,1,5,0.1
city002_w01_hard,city002,1,hard,ai,central,1,1,1,0.083333
city002_w01_hard,city002,1,hard,ai,central,1,1,2,0.15
city002_w01_hard,city002,1,hard,ai,central,1,1,3,0.1
city002_w01_hard,city002,1,hard,ai,central,1,1,4,0.033333
city002_w01_hard,city002,1,hard,ai,central,1,1,5,0.033333
city003_w00_easy,city003,0,easy,ai,search,1,0,1,0.166667
city003_w00_easy,city003,0,easy,ai,search,1,0,2,0.05
city003_w00_easy,city003,0,easy,ai,search,1,0,3,0.083333
city003_w00_easy,city003,0,easy,ai,search,1,0,4,0.066667
city003_w00_easy,city003,0,easy,ai,search,1,0,5,0.05
city003_w00_hard,city003,0,hard,ai,central,1,1,1,0.0
city003_w00_hard,city003,0,hard,ai,central,1,1,2,0.066667
city003_w00_hard,city003,0,hard,ai,central,1,1,3,0.05
city003_w00_hard,city003,0,hard,ai,central,1,1,4,0.033333
city003_w00_hard,city003,0,hard,ai,central,1,1,5,0.016667
city003_w01_easy,city003,1,easy,ai,central,1,1,1,0.166667
city003_w01_easy,city003,1,easy,ai,central,1,1,2,0.15
city003_w01_easy,city003,1,easy,ai,central,1,1,3,0.116667
city003_w01_easy,city003,1,easy,ai,central,1,1,4,0.083333
city003_w01_easy,city003,1,easy,ai,central,1,1,5,0.116667
city003_w01_hard,city003,1,hard,ai,central,1,1,1,0.05
city003_w01_hard,city003,1,hard,ai,central,1,1,2,0.116667
city003_w01_hard,city003,1,hard,ai,central,1,1,3,0.066667
city003_w01_hard,city003,1,hard,ai,central,1,1,4,0.016667
city003_w01_hard,city003,1,hard,ai,central,1,1,5,0.033333
city004_w00_easy,city004,0,easy,standard,central,0,1,1,0.116667
city004_w00_easy,city004,0,easy,standard,central,0,1,2,0.05
city004_w00_easy,city004,0,easy,standard,central,0,1,3,0.033333
city004_w00_easy,city004,0,easy,standard,central,0,1,4,0.166667
city004_w00_easy,city004,0,easy,standard,central,0,1,5,0.066667
city004_w00_hard,city004,0,hard,standard,central,0,1,1,0.166667
city004_w00_hard,city004,0,hard,standard,central,0,1,2,0.066667
city004_w00_hard,city004,0,hard,standard,central,0,1,3,0.033333
city004_w00_hard,city004,0,hard,standard,central,0,1,4,0.05
city004_w00_hard,city004,0,hard,standard,central,0,1,5,0.033333
city004_w01_easy,city004,1,easy,standard,central,0,1,1,0.1
city004_w01_easy,city004,1,easy,standard,central,0,1,2,0.083333
city004_w01_easy,city004,1,easy,standard,central,0,1,3,0.05
city004_w01_easy,city004,1,easy,standard,central,0,1,4,0.116667
city004_w01_easy,city004,1,easy,standard,central,0,1,5,0.05
city004_w01_hard,city004,1,hard,standard,search,0,0,1,0.133333
city004_w01_hard,city004,1,hard,standard,search,0,0,2,0.083333
city004_w01_hard,city004,1,hard,standard,search,0,0,3,0.033333
city004_w01_hard,city004,1,hard,standard,search,0,0,4,0.016667
city004_w01_hard,city004,1,hard,standard,search,0,0,5,0.033333
city005_w00_easy,city005,0,easy,ai,central,1,1,1,0.083333
city005_w00_easy,city005,0,easy,ai,central,1,1,2,0.183333
city005_w00_easy,city005,0,easy,ai,central,1,1,3,0.1
city005_w00_easy,city005,0,easy,ai,central,1,1,4,0.066667
city005_w00_easy,city005,0,easy,ai,central,1,1,5,0.033333
city005_w00_hard,city005,0,hard,ai,search,1,0,1,0.083333
city005_w00_hard,city005,0,hard,ai,search,1,0,2,0.066667
city005_w00_hard,city005,0,hard,ai,search,1,0,3,0.116667
city005_w00_hard,city005,0,hard,ai,search,1,0,4,0.083333
city005_w00_hard,city005,0,hard,ai,search,1,0,5,0.083333
city005_w01_easy,city005,1,easy,standard,search,0,0,1,0.166667
city005_w01_easy,city005,1,easy,standard,search,0,0,2,0.066667
city005_w01_easy,city005,1,easy,standard,search,0,0,3,0.066667
city005_w01_easy,city005,1,easy,standard,search,0,0,4,0.116667
city005_w01_easy,city005,1,easy,standard,search,0,0,5,0.033333
city005_w01_hard,city005,1,hard,standard,search,0,0,1,0.05
city005_w01_hard,city005,1,hard,standard,search,0,0,2,0.033333
city005_w01_hard,city005,1,hard,standard,search,0,0,3,0.033333
city005_w01_hard,city005,1,hard,standard,search,0,0,4,0.033333
city005_w01_hard,city005,1,hard,standard,search,0,0,5,0.033333
city006_w00_easy,city006,0,easy,standard,central,0,1,1,0.266667
city006_w00_easy,city006,0,easy,standard,central,0,1,2,0.05
city006_w00_easy,city006,0,easy,standard,central,0,1,3,0.116667
city006_w00_easy,city006,0,easy,standard,central,0,1,4,0.083333
city006_w00_easy,city006,0,easy,standard,central,0,1,5,0.033333
city006_w00_hard,city006,0,hard,ai,search,1,0,1,0.1
city006_w00_hard,city006,0,hard,ai,search,1,0,2,0.1
city006_w00_hard,city006,0,hard,ai,search,1,0,3,0.033333
city006_w00_hard,city006,0,hard,ai,search,1,0,4,0.066667
city006_w00_hard,city006,0,hard,ai,search,1,0,5,0.0
city006_w01_easy,city006,1,easy,ai,search,1,0,1,0.183333
city006_w01_easy,city006,1,easy,ai,search,1,0,2,0.116667
city006_w01_easy,city006,1,easy,ai,search,1,0,3,0.05
city006_w01_easy,city006,1,easy,ai,search,1,0,4,0.066667
city006_w01_easy,city006,1,easy,ai,search,1,0,5,0.066667
city006_w01_hard,city006,1,hard,standard,central,0,1,1,0.066667
city006_w01_hard,city006,1,hard,standard,central,0,1,2,0.116667
city006_w01_hard,city006,1,hard,standard,central,0,1,3,0.083333
city006_w01_hard,city006,1,hard,standard,central,0,1,4,0.05
city006_w01_hard,city006,1,hard,standard,central,0,1,5,0.066667
city007_w00_easy,city007,0,easy,standard,search,0,0,1,0.15
city007_w00_easy,city007,0,easy,standard,search,0,0,2,0.066667
city007_w00_easy,city007,0,easy,standard,search,0,0,3,0.083333
city007_w00_easy,city007,0,easy,standard,search,0,0,4,0.066667
city007_w00_easy,city007,0,easy,standard,search,0,0,5,0.033333
city007_w00_hard,city007,0,hard,standard,central,0,1,1,0.05
city007_w00_hard,city007,0,hard,standard,central,0,1,2,0.066667
city007_w00_hard,city007,0,hard,standard,central,0,1,3,0.05
city007_w00_hard,city007,0,hard,standard,central,0,1,4,0.1
city007_w00_hard,city007,0,hard,standard,central,0,1,5,0.033333
city007_w01_easy,city007,1,easy,standard,central,0,1,1,0.133333
city007_w01_easy,city007,1,easy,standard,central,0,1,2,0.1
city007_w01_easy,city007,1,easy,standard,central,0,1,3,0.033333
city007_w01_easy,city007,1,easy,standard,central,0,1,4,0.083333
city007_w01_easy,city007,1,easy,standard,central,0,1,5,0.05
city007_w01_hard,city007,1,hard,standard,search,0,0,1,0.1
city007_w01_hard,city007,1,hard,standard,search,0,0,2,0.116667
city007_w01_hard,city007,1,hard,standard,search,0,0,3,0.116667
city007_w01_hard,city007,1,hard,standard,search,0,0,4,0.066667
city007_w01_hard,city007,1,hard,standard,search,0,0,5,0.05
city008_w00_easy,city008,0,easy,standard,central,0,1,1,0.1
city008_w00_easy,city008,0,easy,standard,central,0,1,2,0.1
city008_w00_easy,city008,0,easy,standard,central,0,1,3,0.066667
city008_w00_easy,city008,0,easy,standard,central,0,1,4,0.05
city008_w00_easy,city008,0,easy,standard,central,0,1,5,0.0
city008_w00_hard,city008,0,hard,ai,central,1,1,1,0.15
city008_w00_hard,city008,0,hard,ai,central,1,1,2,0.066667
city008_w00_hard,city008,0,hard,ai,central,1,1,3,0.016667
city008_w00_hard,city008,0,hard,ai,central,1,1,4,0.083333
city008_w00_hard,city008,0,hard,ai,central,1,1,5,0.033333
city008_w01_easy,city008,1,easy,ai,search,1,0,1,0.283333
city008_w01_easy,city008,1,easy,ai,search,1,0,2,0.133333
city008_w01_easy,city008,1,easy,ai,search,1,0,3,0.116667
city008_w01_easy,city008,1,easy,ai,search,1,0,4,0.133333
city008_w01_easy,city008,1,easy,ai,search,1,0,5,0.1
city008_w01_hard,city008,1,hard,standard,search,0,0,1,0.033333
city008_w01_hard,city008,1,hard,standard,search,0,0,2,0.05
city008_w01_hard,city008,1,hard,standard,search,0,0,3,0.05
city008_w01_hard,city008,1,hard,standard,search,0,0,4,0.016667
city008_w01_hard,city008,1,hard,standard,search,0,0,5,0.0
city009_w00_easy,city009,0,easy,standard,search,0,0,1,0.183333
city009_w00_easy,city009,0,easy,standard,search,0,0,2,0.133333
city009_w00_easy,city009,0,easy,standard,search,0,0,3,0.116667
city009_w00_easy,city009,0,easy,standard,search,0,0,4,0.1
city009_w00_easy,city009,0,easy,standard,search,0,0,5,0.15
city009_w00_hard,city009,0,hard,ai,central,1,1,1,0.05
city009_w00_hard,city009,0,hard,ai,central,1,1,2,0.05
city009_w00_hard,city009,0,hard,ai,central,1,1,3,0.016667
city009_w00_hard,city009,0,hard,ai,central,1,1,4,0.016667
city009_w00_hard,city009,0,hard,ai,central,1,1,5,0.016667
city009_w01_easy,city009,1,easy,standard,search,0,0,1,0.1
city009_w01_easy,city009,1,easy,standard,search,0,0,2,0.05
city009_w01_easy,city009,1,easy,standard,search,0,0,3,0.05
city009_w01_easy,city009,1,easy,standard,search,0,0,4,0.1
city009_w01_easy,city009,1,easy,standard,search,0,0,5,0.05
city009_w01_hard,city009,1,hard,standard,search,0,0,1,0.05
city009_w01_hard,city009,1,hard,standard,search,0,0,2,0.066667
city009_w01_hard,city009,1,hard,standard,search,0,0,3,0.1
city009_w01_hard,city009,1,hard,standard,search,0,0,4,0.05
city009_w01_hard,city009,1,hard,standard,search,0,0,5,0.083333
city010_w00_easy,city010,0,easy,ai,central,1,1,1,0.183333
city010_w00_easy,city010,0,easy,ai,central,1,1,2,0.1
city010_w00_easy,city010,0,easy,ai,central,1,1,3,0.083333
city010_w00_easy,city010,0,easy,ai,central,1,1,4,0.05
city010_w00_easy,city010,0,easy,ai,central,1,1,5,0.05
city010_w00_hard,city010,0,hard,standard,search,0,0,1,0.05
city010_w00_hard,city010,0,hard,standard,search,0,0,2,0.116667
city010_w00_hard,city010,0,hard,standard,search,0,0,3,0.083333
city010_w00_hard,city010,0,hard,standard,search,0,0,4,0.016667
city010_w00_hard,city010,0,hard,standard,search,0,0,5,0.066667
city010_w01_easy,city010,1,easy,ai,search,1,0,1,0.133333
city010_w01_easy,city010,1,easy,ai,search,1,0,2,0.233333
city010_w01_easy,city010,1,easy,ai,search,1,0,3,0.133333
city010_w01_easy,city010,1,easy,ai,search,1,0,4,0.1
city010_w01_easy,city010,1,easy,ai,search,1,0,5,0.033333
city010_w01_hard,city010,1,hard,standard,central,0,1,1,0.083333
city010_w01_hard,city010,1,hard,standard,central,0,1,2,0.083333
city010_w01_hard,city010,1,hard,standard,central,0,1,3,0.05
city010_w01_hard,city010,1,hard,standard,central,0,1,4,0.05
city010_w01_hard,city010,1,hard,standard,central,0,1,5,0.066667
city011_w00_easy,city011,0,easy,ai,central,1,1,1,0.166667
city011_w00_easy,city011,0,easy,ai,central,1,1,2,0.066667
city011_w00_easy,city011,0,easy,ai,central,1,1,3,0.1
city011_w00_easy,city011,0,easy,ai,central,1,1,4,0.016667
city011_w00_easy,city011,0,easy,ai,central,1,1,5,0.05
city011_w00_hard,city011,0,hard,standard,search,0,0,1,0.116667
city011_w00_hard,city011,0,hard,standard,search,0,0,2,0.133333
city011_w00_hard,city011,0,hard,standard,search,0,0,3,0.016667
city011_w00_hard,city011,0,hard,standard,search,0,0,4,0.033333
city011_w00_hard,city011,0,hard,standard,search,0,0,5,0.016667
city011_w01_easy,city011,1,easy,ai,search,1,0,1,0.166667
city011_w01_easy,city011,1,easy,ai,search,1,0,2,0.05
city011_w01_easy,city011,1,easy,ai,search,1,0,3,0.083333
city011_w01_easy,city011,1,easy,ai,search,1,0,4,0.083333
city011_w01_easy,city011,1,easy,ai,search,1,0,5,0.116667
city011_w01_hard,city011,1,hard,standard,search,0,0,1,0.066667
city011_w01_hard,city011,1,hard,standard,search,0,0,2,0.083333
city011_w01_hard,city011,1,hard,standard,search,0,0,3,0.083333
city011_w01_hard,city011,1,hard,standard,search,0,0,4,0.016667
city011_w01_hard,city011,1,hard,standard,search,0,0,5,0.016667
city012_w00_easy,city012,0,easy,ai,search,1,0,1,0.15
city012_w00_easy,city012,0,easy,ai,search,1,0,2,0.183333
city012_w00_easy,city012,0,easy,ai,search,1,0,3,0.116667
city012_w00_easy,city012,0,easy,ai,search,1,0,4,0.1
city012_w00_easy,city012,0,easy,ai,search,1,0,5,0.083333
city012_w00_hard,city012,0,hard,ai,search,1,0,1,0.083333
city012_w00_hard,city012,0,hard,ai,search,1,0,2,0.066667
city012_w00_hard,city012,0,hard,ai,search,1,0,3,0.05
city012_w00_hard,city012,0,hard,ai,search,1,0,4,0.1
city012_w00_hard,city012,0,hard,ai,search,1,0,5,0.033333
city012_w01_easy,city012,1,easy,standard,search,0,0,1,0.133333
city012_w01_easy,city012,1,easy,standard,search,0,0,2,0.05
city012_w01_easy,city012,1,easy,standard,search,0,0,3,0.066667
city012_w01_easy,city012,1,easy,standard,search,0,0,4,0.05
city012_w01_easy,city012,1,easy,standard,search,0,0,5,0.066667
city012_w01_hard,city012,1,hard,ai,search,1,0,1,0.05
city012_w01_hard,city012,1,hard,ai,search,1,0,2,0.033333
city012_w01_hard,city012,1,hard,ai,search,1,0,3,0.033333
city012_w01_hard,city012,1,hard,ai,search,1,0,4,0.033333
city012_w01_hard,city012,1,hard,ai,search,1,0,5,0.033333
city013_w00_easy,city013,0,easy,ai,central,1,1,1,0.1
city013_w00_easy,city013,0,easy,ai,central,1,1,2,0.1
city013_w00_easy,city013,0,easy,ai,central,1,1,3,0.033333
city013_w00_easy,city013,0,easy,ai,central,1,1,4,0.016667
city013_w00_easy,city013,0,easy,ai,central,1,1,5,0.05
city013_w00_hard,city013,0,hard,ai,search,1,0,1,0.066667
city013_w00_hard,city013,0,hard,ai,search,1,0,2,0.033333
city013_w00_hard,city013,0,hard,ai,search,1,0,3,0.016667
city013_w00_hard,city013,0,hard,ai,search,1,0,4,0.05
city013_w00_hard,city013,0,hard,ai,search,1,0,5,0.033333
city013_w01_easy,city013,1,easy,standard,central,0,1,1,0.133333
city013_w01_easy,city013,1,easy,standard,central,0,1,2,0.15
city013_w01_easy,city013,1,easy,standard,central,0,1,3,0.1
city013_w01_easy,city013,1,easy,standard,central,0,1,4,0.1
city013_w01_easy,city013,1,easy,standard,central,0,1,5,0.066667
city013_w01_hard,city013,1,hard,ai,search,1,0,1,0.083333
city013_w01_hard,city013,1,hard,ai,search,1,0,2,0.05
city013_w01_hard,city013,1,hard,ai,search,1,0,3,0.016667
city013_w01_hard,city013,1,hard,ai,search,1,0,4,0.016667
city013_w01_hard,city013,1,hard,ai,search,1,0,5,0.066667
city014_w00_easy,city014,0,easy,standard,central,0,1,1,0.116667
city014_w00_easy,city014,0,easy,standard,central,0,1,2,0.083333
city014_w00_easy,city014,0,easy,standard,central,0,1,3,0.116667
city014_w00_easy,city014,0,easy,standard,central,0,1,4,0.066667
city014_w00_easy,city014,0,easy,standard,central,0,1,5,0.066667
city014_w00_hard,city014,0,hard,ai,central,1,1,1,0.1
city014_w00_hard,city014,0,hard,ai,central,1,1,2,0.066667
city014_w00_hard,city014,0,hard,ai,central,1,1,3,0.083333
city014_w00_hard,city014,0,hard,ai,central,1,1,4,0.016667
city014_w00_hard,city014,0,hard,ai,central,1,1,5,0.05
city014_w01_easy,city014,1,easy,ai,central,1,1,1,0.15
city014_w01_easy,city014,1,easy,ai,central,1,1,2,0.183333
city014_w01_easy,city014,1,easy,ai,central,1,1,3,0.15
city014_w01_easy,city014,1,easy,ai,central,1,1,4,0.05
city014_w01_easy,city014,1,easy,ai,central,1,1,5,0.066667
city014_w01_hard,city014,1,hard,standard,central,0,1,1,0.1
city014_w01_hard,city014,1,hard,standard,central,0,1,2,0.066667
city014_w01_hard,city014,1,hard,standard,central,0,1,3,0.033333
city014_w01_hard,city014,1,hard,standard,central,0,1,4,0.016667
city014_w01_hard,city014,1,hard,standard,central,0,1,5,0.0
city015_w00_easy,city015,0,easy,ai,search,1,0,1,0.083333
city015_w00_easy,city015,0,easy,ai,search,1,0,2,0.066667
city015_w00_easy,city015,0,easy,ai,search,1,0,3,0.1
city015_w00_easy,city015,0,easy,ai,search,1,0,4,0.016667
city015_w00_easy,city015,0,easy,ai,search,1,0,5,0.066667
city015_w00_hard,city015,0,hard,ai,search,1,0,1,0.15
city015_w00_hard,city015,0,hard,ai,search,1,0,2,0.1
city015_w00_hard,city015,0,hard,ai,search,1,0,3,0.083333
city015_w00_hard,city015,0,hard,ai,search,1,0,4,0.083333
city015_w00_hard,city015,0,hard,ai,search,1,0,5,0.016667
city015_w01_easy,city015,1,easy,ai,search,1,0,1,0.15
city015_w01_easy,city015,1,easy,ai,search,1,0,2,0.083333
city015_w01_easy,city015,1,easy,ai,search,1,0,3,0.033333
city015_w01_easy,city015,1,easy,ai,search,1,0,4,0.05
city015_w01_easy,city015,1,easy,ai,search,1,0,5,0.083333
city015_w01_hard,city015,1,hard,ai,central,1,1,1,0.066667
city015_w01_hard,city015,1,hard,ai,central,1,1,2,0.083333
city015_w01_hard,city015,1,hard,ai,central,1,1,3,0.033333
city015_w01_hard,city015,1,hard,ai,central,1,1,4,0.066667
city015_w01_hard,city015,1,hard,ai,central,1,1,5,0.016667
city016_w00_easy,city016,0,easy,ai,search,1,0,1,0.1
city016_w00_easy,city016,0,easy,ai,search,1,0,2,0.083333
city016_w00_easy,city016,0,easy,ai,search,1,0,3,0.05
city016_w00_easy,city016,0,easy,ai,search,1,0,4,0.1
city016_w00_easy,city016,0,easy,ai,search,1,0,5,0.05
city016_w00_hard,city016,0,hard,standard,central,0,1,1,0.116667
city016_w00_hard,city016,0,hard,standard,central,0,1,2,0.133333
city016_w00_hard,city016,0,hard,standard,central,0,1,3,0.033333
city016_w00_hard,city016,0,hard,standard,central,0,1,4,0.033333
city016_w00_hard,city016,0,hard,standard,central,0,1,5,0.05
city016_w01_easy,city016,1,easy,standard,search,0,0,1,0.183333
city016_w01_easy,city016,1,easy,standard,search,0,0,2,0.166667
city016_w01_easy,city016,1,easy,standard,search,0,0,3,0.116667
city016_w01_easy,city016,1,easy,standard,search,0,0,4,0.083333
city016_w01_easy,city016,1,easy,standard,search,0,0,5,0.05
city016_w01_hard,city016,1,hard,ai,central,1,1,1,0.1
city016_w01_hard,city016,1,hard,ai,central,1,1,2,0.1
city016_w01_hard,city016,1,hard,ai,central,1,1,3,0.1
city016_w01_hard,city016,1,hard,ai,central,1,1,4,0.05
city016_w01_hard,city016,1,hard,ai,central,1,1,5,0.033333
