seed,cities,weeks,jobs_easy,jobs_hard,providers,attention_cost,central_rec_k,search_k_per_day,std_weight_misclass_hard,did_easy_match,did_hard_match,triple_did_match,triple_reg_match,p_triple_reg_match,did_easy_welfare,did_hard_welfare,triple_did_welfare,triple_reg_welfare,p_triple_reg_welfare
300,40,2,30,30,45,0.25,3,2,0.55,0.0083,-0.0117,-0.02,-0.02,0.6982,-3.5285,-2.6817,0.8468,0.8468,0.893
301,40,2,30,30,45,0.25,3,2,0.55,0.0317,0.0283,-0.0033,-0.0033,0.9423,1.5476,18.1961,16.6485,16.6485,0.0039
302,40,2,30,30,45,0.25,3,2,0.55,0.0683,-0.0417,-0.11,-0.11,0.0305,-0.0803,-1.861,-1.7806,-1.7806,0.7877
303,40,2,30,30,45,0.25,3,2,0.55,0.01,0.035,0.025,0.025,0.5982,2.6532,19.1206,16.4674,16.4674,0.0102
304,40,2,30,30,45,0.25,3,2,0.55,0.015,0.0283,0.0133,0.0133,0.7847,0.1045,3.3057,3.2011,3.2011,0.6341
305,40,2,30,30,45,0.25,3,2,0.55,-0.0083,-0.0533,-0.045,-0.045,0.3964,-0.7525,-9.0589,-8.3064,-8.3064,0.2829
306,40,2,30,30,45,0.25,3,2,0.55,0.0883,0.0383,-0.05,-0.05,0.3008,1.8592,6.3577,4.4985,4.4985,0.4827
307,40,2,30,30,45,0.25,3,2,0.55,0.0017,-0.0183,-0.02,-0.02,0.7279,-0.6319,8.6488,9.2807,9.2807,0.1589
300,40,2,30,30,45,0.25,3,2,0.7,-0.0033,0.0317,0.035,0.035,0.507,-0.6382,-2.6594,-2.0212,-2.0212,0.7288
301,40,2,30,30,45,0.25,3,2,0.7,-0.0083,0.06,0.0683,0.0683,0.1528,1.2481,10.7053,9.4572,9.4572,0.1098
302,40,2,30,30,45,0.25,3,2,0.7,0.0383,-0.0567,-0.095,-0.095,0.0586,2.073,-11.3506,-13.4236,-13.4236,0.0603
303,40,2,30,30,45,0.25,3,2,0.7,0.0467,0.0517,0.005,0.005,0.9141,-1.4098,9.6835,11.0933,11.0933,0.071
304,40,2,30,30,45,0.25,3,2,0.7,0.0667,0.0183,-0.0483,-0.0483,0.3188,-3.1093,0.9272,4.0364,4.0364,0.5629
