category,k_I,k_J,d_hat_I,d_hat_J,search_match_rate,search_match_rate_se,central_match_rate,central_match_rate_se,search_total_value_per_customer,search_total_value_per_customer_se,search_attention_per_customer,search_attention_per_customer_se,search_net_welfare,search_net_welfare_se,central_total_value_per_customer,central_total_value_per_customer_se,central_attention_per_customer,central_attention_per_customer_se,central_net_welfare,central_net_welfare_se,net_welfare_diff,net_welfare_diff_se,lambda_star
hard,1,1,0.649,0.642,0.599,0.004,0.379,0.005,0.395,0.003,15.876,0.107,0.237,0.004,0.257,0.003,6.0,0.0,0.197,0.003,-0.04,0.004,0.014
hard,2,1,0.778,0.642,0.599,0.004,0.39,0.005,0.396,0.003,15.502,0.105,0.241,0.004,0.264,0.003,6.0,0.0,0.204,0.003,-0.037,0.004,0.0139
hard,3,1,0.803,0.642,0.598,0.004,0.394,0.005,0.396,0.003,15.452,0.104,0.241,0.004,0.266,0.004,6.0,0.0,0.206,0.004,-0.035,0.004,0.0137
hard,4,1,0.808,0.642,0.599,0.004,0.392,0.005,0.397,0.003,15.416,0.104,0.242,0.004,0.265,0.003,6.0,0.0,0.205,0.003,-0.037,0.003,0.014
hard,5,1,0.809,0.642,0.6,0.004,0.392,0.005,0.397,0.003,15.383,0.104,0.243,0.004,0.265,0.003,6.0,0.0,0.205,0.003,-0.038,0.003,0.014
hard,6,1,0.809,0.642,0.6,0.004,0.392,0.005,0.397,0.003,15.386,0.104,0.243,0.004,0.265,0.003,6.0,0.0,0.205,0.003,-0.037,0.003,0.014
hard,1,2,0.649,0.773,0.599,0.004,0.381,0.005,0.395,0.003,15.876,0.107,0.237,0.004,0.259,0.004,6.0,0.0,0.199,0.004,-0.038,0.004,0.0138
hard,2,2,0.778,0.773,0.599,0.004,0.412,0.005,0.396,0.003,15.502,0.105,0.241,0.004,0.279,0.004,6.0,0.0,0.219,0.004,-0.023,0.004,0.0124
hard,3,2,0.803,0.773,0.598,0.004,0.416,0.005,0.396,0.003,15.452,0.104,0.241,0.004,0.282,0.004,6.0,0.0,0.222,0.004,-0.019,0.004,0.0121
hard,4,2,0.808,0.773,0.599,0.004,0.414,0.005,0.397,0.003,15.416,0.104,0.242,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.022,0.004,0.0123
hard,5,2,0.809,0.773,0.6,0.004,0.413,0.005,0.397,0.003,15.383,0.104,0.243,0.004,0.28,0.004,6.0,0.0,0.22,0.004,-0.023,0.004,0.0124
hard,6,2,0.809,0.773,0.6,0.004,0.413,0.005,0.397,0.003,15.386,0.104,0.243,0.004,0.28,0.004,6.0,0.0,0.22,0.004,-0.023,0.004,0.0125
hard,1,3,0.649,0.803,0.599,0.004,0.374,0.005,0.395,0.003,15.876,0.107,0.237,0.004,0.255,0.004,6.0,0.0,0.195,0.004,-0.042,0.004,0.0142
hard,2,3,0.778,0.803,0.599,0.004,0.412,0.005,0.396,0.003,15.502,0.105,0.241,0.004,0.279,0.004,6.0,0.0,0.219,0.004,-0.022,0.004,0.0123
hard,3,3,0.803,0.803,0.598,0.004,0.415,0.005,0.396,0.003,15.452,0.104,0.241,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.02,0.004,0.0121
hard,4,3,0.808,0.803,0.599,0.004,0.415,0.005,0.397,0.003,15.416,0.104,0.242,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.021,0.004,0.0122
hard,5,3,0.809,0.803,0.6,0.004,0.414,0.005,0.397,0.003,15.383,0.104,0.243,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.022,0.004,0.0123
hard,6,3,0.809,0.803,0.6,0.004,0.414,0.005,0.397,0.003,15.386,0.104,0.243,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.022,0.004,0.0123
hard,1,4,0.649,0.807,0.599,0.004,0.372,0.005,0.395,0.003,15.876,0.107,0.237,0.004,0.253,0.004,6.0,0.0,0.193,0.004,-0.043,0.004,0.0144
hard,2,4,0.778,0.807,0.599,0.004,0.411,0.005,0.396,0.003,15.502,0.105,0.241,0.004,0.279,0.004,6.0,0.0,0.219,0.004,-0.022,0.004,0.0123
hard,3,4,0.803,0.807,0.598,0.004,0.413,0.005,0.396,0.003,15.452,0.104,0.241,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.02,0.004,0.0121
hard,4,4,0.808,0.807,0.599,0.004,0.413,0.005,0.397,0.003,15.416,0.104,0.242,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.022,0.004,0.0123
hard,5,4,0.809,0.807,0.6,0.004,0.413,0.005,0.397,0.003,15.383,0.104,0.243,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.022,0.004,0.0124
